data_celltemp,data_cellpres,data_co2,data_co2abs,data_h2o,data_h2oabs,data_h2odewpoint,data_ivolt,data_raw_co2_co2ref,data_raw_co2_h2o_h2oref,data_raw_co2_h2o,data_datetimer,data
"5.00902e1","1.00242e2","4.82156e2","9.7693920e-2","2.46083e1","1.3280987e-1","2.08090e1","1.2084960e1","3808345","1934613","","2016-09-30T15:29:33.013852",""
"5.00902e1","1.00242e2","4.81936e2","9.7662687e-2","2.46096e1","1.3281440e-1","2.08099e1","1.2105102e1","3808010","1934340","","2016-09-30T15:29:38.997548",""
"5.01409e1","1.00242e2","4.81817e2","9.7635030e-2","2.46156e1","1.3282215e-1","2.08139e1","1.2105102e1","3807801","1934420","","2016-09-30T15:29:44.991382",""
"5.01409e1","1.00264e2","4.81489e2","9.7609519e-2","2.46092e1","1.3282561e-1","2.08132e1","1.2105102e1","3807962","1934311","","2016-09-30T15:29:50.975425",""
"5.01665e1","1.00242e2","4.81510e2","9.7586030e-2","2.46196e1","1.3282954e-1","2.08165e1","1.2111816e1","3807697","1934188","","2016-09-30T15:29:56.962743",""
"5.01917e1","1.00242e2","4.81360e2","9.7559328e-2","2.46224e1","1.3283252e-1","2.08183e1","1.2105102e1","3807401","1934118","","2016-09-30T15:30:02.956125",""
"5.02173e1","1.00242e2","4.81225e2","9.7534656e-2","2.46243e1","1.3283216e-1","2.08196e1","1.2105102e1","3807565","1933913","","2016-09-30T15:30:08.948914",""
"5.02682e1","1.00242e2","4.81137e2","9.7511405e-2","2.46282e1","1.3283228e-1","2.08221e1","1.2058105e1","3807191","1933794","","2016-09-30T15:30:14.930022",""
"5.14908e1","1.00228e2","4.65513e2","9.5007057e-2","2.50568e1","1.3400006e-1","2.11006e1","1.2890625e1","3803461","1929340","","2016-09-30T15:30:32.893631",""
"5.14908e1","1.00206e2","4.65782e2","9.5025177e-2","2.50599e1","1.3398444e-1","2.10990e1","1.2930908e1","3804021","1929521","","2016-09-30T15:30:38.882936",""
"5.14908e1","1.00206e2","4.65919e2","9.5044851e-2","2.50554e1","1.3396859e-1","2.10961e1","1.2937622e1","3803482","1929276","","2016-09-30T15:30:44.876150",""
"5.14908e1","1.00206e2","4.66042e2","9.5062608e-2","2.50514e1","1.3395452e-1","2.10935e1","1.2890625e1","3804043","1929341","","2016-09-30T15:40:50.875913",""
"5.14908e1","1.00228e2","4.66065e2","9.5086450e-2","2.50394e1","1.3393890e-1","2.10893e1","1.2890625e1","3803863","1929064","","2016-09-30T15:40:56.853119",""
"5.14908e1","1.00228e2","4.66204e2","9.5106477e-2","2.50351e1","1.3392376e-1","2.10865e1","1.2810058e1","3803186","1929050","","2016-09-30T15:41:02.830920",""
"5.14908e1","1.00228e2","4.66353e2","9.5128059e-2","2.50305e1","1.3390755e-1","2.10835e1","1.2816772e1","3803242","1929042","","2016-09-30T15:41:08.805977",""
"5.14908e1","1.00228e2","4.66524e2","9.5152616e-2","2.50262e1","1.3389217e-1","2.10807e1","1.2904052e1","3803379","1928916","","2016-09-30T15:41:14.785132",""
"5.14908e1","1.00228e2","4.66650e2","9.5170736e-2","2.50216e1","1.3387596e-1","2.10777e1","1.2917480e1","3802780","1928812","","2016-09-30T15:41:20.763871",""
"5.14908e1","1.00228e2","4.66778e2","9.5189094e-2","2.50169e1","1.3385963e-1","2.10747e1","1.2957763e1","3802774","1928744","","2016-09-30T15:41:26.742496",""
"5.14112e1","1.00242e2","4.77052e2","9.6693868e-2","2.51007e1","1.3419234e-1","2.11314e1","1.3494873e1","3798854","1925988","","2016-09-30T15:41:50.662074",""
"5.14112e1","1.00242e2","4.77021e2","9.6689462e-2","2.51003e1","1.3419103e-1","2.11311e1","1.3501586e1","3798461","1925955","","2016-09-30T15:41:56.638823",""
"5.14112e1","1.00242e2","4.77012e2","9.6688270e-2","2.51003e1","1.3419079e-1","2.11311e1","1.3494873e1","3798977","1925998","","2016-09-30T15:42:02.625942",""
"5.14112e1","1.00264e2","4.76862e2","9.6687793e-2","2.50934e1","1.3419294e-1","2.11302e1","1.3494873e1","3798710","1925958","","2016-09-30T15:42:08.602671",""
"5.14112e1","1.00264e2","4.76874e2","9.6689462e-2","2.50929e1","1.3419139e-1","2.11299e1","1.3515014e1","3798902","1925943","","2016-09-30T15:42:14.596771",""
"5.14112e1","1.00264e2","4.76884e2","9.6690893e-2","2.50934e1","1.3419318e-1","2.11302e1","1.3508300e1","3799181","1925915","","2016-09-30T15:42:20.586795",""
"5.14112e1","1.00264e2","4.76859e2","9.6687316e-2","2.50934e1","1.3419306e-1","2.11302e1","1.3515014e1","3798779","1926021","","2016-09-30T15:52:26.669365",""
"5.14112e1","1.00264e2","4.76856e2","9.6686840e-2","2.50935e1","1.3419353e-1","2.11303e1","1.3515014e1","3798624","1925928","","2016-09-30T15:52:32.649358",""
"5.14112e1","1.00264e2","4.76846e2","9.6685523e-2","2.50935e1","1.3419353e-1","2.11303e1","1.3521728e1","3798552","1926015","","2016-09-30T15:52:38.626825",""
"5.14112e1","1.00242e2","4.76997e2","9.6686000e-2","2.51010e1","1.3419330e-1","2.11315e1","1.3515014e1","3798724","1925993","","2016-09-30T15:52:44.603906",""
"5.14112e1","1.00214e2","4.79520e2","9.7020740e-2","2.51868e1","1.3446211e-1","2.11827e1","1.3494873e1","3798727","1925953","","2016-09-30T15:52:56.563813",""
"5.14112e1","1.00214e2","4.79534e2","9.7022647e-2","2.51871e1","1.3446307e-1","2.11829e1","1.3494873e1","3798872","1925961","","2016-09-30T15:53:02.541260",""
"5.14112e1","1.00214e2","4.79521e2","9.7020864e-2","2.51869e1","1.3446247e-1","2.11828e1","1.3501586e1","3798511","1925885","","2016-09-30T15:53:08.521012",""
"5.14112e1","1.00237e2","4.79380e2","9.7021694e-2","2.51792e1","1.3446164e-1","2.11813e1","1.3508300e1","3798752","1925848","","2016-09-30T15:53:14.501366",""
"5.14112e1","1.00214e2","4.79514e2","9.7019786e-2","2.51868e1","1.3446199e-1","2.11827e1","1.3515014e1","3798803","1925903","","2016-09-30T15:53:20.480861",""
"5.14112e1","1.00237e2","4.79356e2","9.7018356e-2","2.51798e1","1.3446378e-1","2.11817e1","1.3515014e1","3798615","1925946","","2016-09-30T15:53:26.463130",""
"5.14112e1","1.00237e2","4.79354e2","9.7018003e-2","2.51792e1","1.3446187e-1","2.11814e1","1.3521728e1","3798591","1925869","","2016-09-30T15:53:32.438879",""
"5.14112e1","1.00214e2","4.79524e2","9.7021217e-2","2.51865e1","1.3446080e-1","2.11825e1","1.3515014e1","3799234","1925962","","2016-09-30T15:53:38.418973",""
"5.14112e1","1.00237e2","4.79363e2","9.7019309e-2","2.51790e1","1.3446116e-1","2.11812e1","1.3508300e1","3798657","1925853","","2016-09-30T15:53:44.398354",""
"5.14112e1","1.00192e2","4.79671e2","9.7021217e-2","2.51947e1","1.3446307e-1","2.11842e1","1.3515014e1","3798734","1926000","","2016-09-30T15:53:50.373650",""
"5.14112e1","1.00214e2","4.79743e2","9.7052450e-2","2.51925e1","1.3448190e-1","2.11864e1","1.3494873e1","3799066","1925902","","2016-09-30T16:04:14.373102",""
"5.14112e1","1.00192e2","4.79887e2","9.7051973e-2","2.52000e1","1.3448178e-1","2.11876e1","1.3488159e1","3798763","1925960","","2016-09-30T16:04:20.358521",""
